Order ID,Order Date,Category,Website,Condition,Seller,List Price Per Unit,Purchase Price Per Unit,Quantity,Shipment Date,Carrier Name & Tracking Number,Item Subtotal,Item Subtotal Tax,Item Total
57,6/26/10,,Amazon.com,new,Wellica Inc,$8.89 ,$8.29 ,1,6/26/10,USPS,$8.29 ,$0.00 ,$8.29 
58,7/11/10,NETWORKING_DEVICE,Amazon.com,new,Amazon.com,$99.99 ,$89.99 ,1,7/14/10,ONTRAC,$89.99 ,$0.00 ,$89.99 
59,7/11/10,BEAUTY,Amazon.com,new,SB Natural Products,$7.99 ,$5.76 ,3,7/14/10,ONTRAC,$17.28 ,$0.00 ,$17.28 
60,7/25/10,COMPUTER_COMPONENT,Amazon.com,new,Amazon.com,$4.86 ,$4.86 ,1,7/29/10,USPS,$4.86 ,$0.00 ,$4.86 
61,7/25/10,BATTERY,Amazon.com,new,MYBATTERYSUPPLIER,$16.99 ,$13.45 ,1,7/29/10,USPS,$13.45 ,$0.00 ,$13.45 
62,7/25/10,KEYBOARDS,Amazon.com,new,Amazon.com,$28.50 ,$14.82 ,1,7/29/10,USPS,$14.82 ,$0.00 ,$14.82 
63,7/25/10,COMPUTER_ADD_ON,Amazon.com,new,Amazon.com,$7.80 ,$7.80 ,1,7/29/10,USPS,$7.80 ,$0.00 ,$7.80 
64,7/29/10,PERSONAL_CARE_APPLIANCE,Amazon.com,new,SafetyRazorPlace,$6.00 ,$6.79 ,1,7/29/10,USPS,$6.79 ,$0.00 ,$6.79 
65,7/29/10,HEALTH_PERSONAL_CARE,Amazon.com,new,SafetyRazorPlace,$8.99 ,$8.99 ,1,7/29/10,USPS,$8.99 ,$0.00 ,$8.99 
66,7/29/10,COMPUTER_COMPONENT,Amazon.com,new,Amazon.com,$4.86 ,$4.86 ,1,8/1/10,ONTRAC,$4.86 ,$0.00 ,$4.86 
67,7/29/10,BEAUTY,Amazon.com,new,Amazon.com,$21.38 ,$14.68 ,2,8/1/10,ONTRAC,$29.36 ,$0.00 ,$29.36 
68,7/30/10,,Amazon.com,new,Importer520  ( USA Seller ),$10.99 ,$2.47 ,1,7/30/10,USPS,$2.47 ,$0.00 ,$2.47 
69,8/2/10,,Amazon.com,new,MYBATTERYSUPPLIER,$2.45 ,$2.45 ,1,8/4/10,UPS,$2.45 ,$0.00 ,$2.45 
70,8/4/10,KITCHEN,Amazon.com,,Amazon.com,$12.99 ,$10.98 ,1,8/8/10,ONTRAC,$10.98 ,$0.00 ,$10.98 
71,8/4/10,ABIS_BOOK,Amazon.com,new,Amazon.com,$17.95 ,$11.97 ,1,8/8/10,ONTRAC,$11.97 ,$0.00 ,$11.97 
72,8/4/10,ABIS_BOOK,Amazon.com,new,Amazon.com,$39.95 ,$30.36 ,1,8/8/10,ONTRAC,$30.36 ,$0.00 ,$30.36 
73,8/4/10,,Amazon.com,new,DAB Unlimited,$43.99 ,$19.90 ,1,8/8/10,ONTRAC,$19.90 ,$0.00 ,$19.90 
74,8/5/10,NETWORKING_DEVICE,Amazon.com,new,Importer520  ( USA Seller ),$11.99 ,$11.99 ,1,8/6/10,UPS Mail Innovations,$11.99 ,$0.00 ,$11.99 
75,8/14/10,BATTERY,Amazon.com,new,Pro Ebiz,$39.99 ,$8.15 ,1,8/15/10,USPS,$8.15 ,$0.00 ,$8.15 
76,8/14/10,FLASH_MEMORY,Amazon.com,new,BoBotechnic,$38.99 ,$18.77 ,1,8/17/10,USPS,$18.77 ,$0.00 ,$18.77 
77,8/15/10,HEALTH_PERSONAL_CARE,Amazon.com,new,The Vitamin Shoppe,$17.79 ,$11.93 ,1,8/15/10,Mail Innovations,$11.93 ,$1.04 ,$12.97 
78,8/30/10,COMPUTER_INPUT_DEVICE,Amazon.com,new,Amazing Deals Online,$59.99 ,$22.43 ,1,8/31/10,FEDEX,$22.43 ,$0.00 ,$22.43 
79,8/30/10,,Amazon.com,new,Amazon.com,$7.99 ,$7.99 ,1,8/31/10,UPS,$7.99 ,$0.00 ,$7.99 
80,8/30/10,NOTEBOOK_COMPUTER,Amazon.com,new,Amazon.com,$749.99 ,$722.02 ,1,8/31/10,UPS,$722.02 ,$0.00 ,$722.02 
81,9/11/10,MEMORY_READER,Amazon.com,new,BestDealUSA,$14.99 ,$2.09 ,1,9/13/10,USPS,$2.09 ,$0.00 ,$2.09 
82,9/19/10,AMAZON_BOOK_READER,Amazon.com,new,Amazon.com,$189.00 ,$189.00 ,1,9/23/10,UPS,$189.00 ,$0.00 ,$189.00 
83,9/24/10,,Amazon.com,new,,$29.95 ,$0.01 ,1,9/24/10,USPS,$0.01 ,$0.00 ,$0.01 
84,9/24/10,BEAUTY,Amazon.com,new,Amazon.com,$11.99 ,$8.57 ,1,9/24/10,UPS,$8.57 ,$0.00 ,$8.57 
85,9/24/10,HEALTH_PERSONAL_CARE,Amazon.com,new,Amazon.com,$8.99 ,$8.98 ,0,,,$0.00 ,$0.00 ,$0.00 
86,9/24/10,WIRELESS_ACCESSORY,Amazon.com,new,Amazon.com,$9.95 ,$9.95 ,1,10/6/10,USPS,$9.95 ,$0.00 ,$9.95 
87,9/25/10,BEAUTY,Amazon.com,new,Amazon.com,$14.99 ,$13.76 ,2,9/29/10,UPS,$27.52 ,$0.00 ,$27.52 
88,9/26/10,ABIS_BOOK,Amazon.com,new,Amazon.com,$14.95 ,$13.45 ,1,9/27/10,UPS,$13.45 ,$0.00 ,$13.45 
89,9/26/10,ABIS_BOOK,Amazon.com,new,Amazon.com,$15.95 ,$10.85 ,1,9/30/10,USPS,$10.85 ,$0.00 ,$10.85 
90,9/26/10,ABIS_BOOK,Amazon.com,new,Amazon.com,$16.00 ,$10.88 ,1,9/30/10,USPS,$10.88 ,$0.00 ,$10.88 
91,10/7/10,ABIS_BOOK,Amazon.com,used verygood,pumpstonbooks,$30.00 ,$7.99 ,1,10/8/10,USPS,$7.99 ,$0.00 ,$7.99 
92,10/21/10,,Amazon.com,new,SB Natural Products,$3.71 ,$3.71 ,1,10/22/10,USPS,$3.71 ,$0.00 ,$3.71 
93,10/21/10,BEAUTY,Amazon.com,new,SB Natural Products,$7.99 ,$6.31 ,2,10/22/10,USPS,$12.62 ,$0.00 ,$12.62 
94,10/21/10,BEAUTY,Amazon.com,new,The Vitamin Shoppe,$6.99 ,$4.59 ,1,10/22/10,Mail Innovations,$4.59 ,$0.40 ,$4.99 
95,10/26/10,ABIS_BOOK,Amazon.com,new,Amazon.com,$193.00 ,$121.59 ,1,10/26/10,USPS,$121.59 ,$0.00 ,$121.59 
96,10/29/10,FLASH_MEMORY,Amazon.com,new,Amazon.com,$26.99 ,$8.99 ,1,10/31/10,USPS,$8.99 ,$0.00 ,$8.99 
97,10/29/10,FLASH_MEMORY,Amazon.com,new,Amazon.com,$36.99 ,$19.22 ,1,10/31/10,USPS,$19.22 ,$0.00 ,$19.22 
98,10/29/10,TOOLS,Amazon.com,new,HTS USA,$12.95 ,$4.95 ,1,10/29/10,USPS,$4.95 ,$0.43 ,$5.38 
99,11/2/10,PROFESSIONAL_HEALTHCARE,Amazon.com,new,HTS USA,$7.99 ,$6.88 ,1,11/3/10,USPS,$6.88 ,$0.60 ,$7.48 
100,11/11/10,ELECTRONIC_CABLE,Amazon.com,new,ACC Stop,$39.99 ,$2.20 ,1,11/12/10,USPS,$2.20 ,$0.00 ,$2.20 
101,11/18/10,RAM_MEMORY,Amazon.com,new,Amazon.com,$61.99 ,$47.99 ,1,11/22/10,USPS,$47.99 ,$0.00 ,$47.99 
102,12/4/10,COMPUTER_COMPONENT,Amazon.com,new,Amazon.com,$6.50 ,$6.50 ,1,12/6/10,USPS,$6.50 ,$0.00 ,$6.50 
103,12/4/10,HEALTH_PERSONAL_CARE,Amazon.com,new,Wellica Inc,$8.99 ,$8.99 ,1,12/5/10,USPS,$8.99 ,$0.00 ,$8.99 
104,12/4/10,KITCHEN,Amazon.com,new,Handy Housewares,$4.99 ,$4.99 ,2,12/5/10,USPS,$9.98 ,$0.00 ,$9.98 
105,12/4/10,,Amazon.com,new,NutriPlusTea,$10.49 ,$7.38 ,1,12/6/10,USPS,$7.38 ,$0.00 ,$7.38 
106,12/9/10,SEEDS_AND_PLANTS,Amazon.com,new,Cheap Seeds,$3.60 ,$3.60 ,2,12/10/10,USPS,$7.20 ,$0.00 ,$7.20 
107,12/18/10,,Amazon.com,new,Amazon.com,$29.99 ,$25.25 ,1,12/21/10,UPS,$25.25 ,$0.00 ,$25.25 
108,12/18/10,BEAUTY,Amazon.com,new,Wellica Inc,$7.99 ,$8.65 ,1,12/20/10,USPS,$8.65 ,$0.00 ,$8.65 
109,1/21/11,CABLE_OR_ADAPTER,Amazon.com,new,WOWparts,$4.99 ,$2.46 ,1,1/21/11,USPS,$2.46 ,$0.00 ,$2.46 
110,1/25/11,ABIS_GIFT_CARD,Amazon.com,,Amazon.com,"$5,000.00 ",$20.00 ,1,1/25/11,,$20.00 ,$0.00 ,$20.00 
111,1/25/11,,Amazon.com,new,TheSmartDigital,$14.10 ,$14.10 ,1,1/27/11,ONTRAC,$14.10 ,$0.00 ,$14.10 
112,1/25/11,INK_OR_TONER,Amazon.com,new,Amazon.com,$12.99 ,$11.99 ,1,1/27/11,ONTRAC,$11.99 ,$0.00 ,$11.99 
113,1/25/11,COMPUTER,Amazon.com,new,Amazon.com,$129.99 ,$116.43 ,1,1/25/11,UPS,$116.43 ,$0.00 ,$116.43 
114,2/5/11,RAM_MEMORY,Amazon.com,new,Amazon.com,$81.99 ,$68.99 ,1,2/8/11,USPS,$68.99 ,$0.00 ,$68.99 
115,2/5/11,SOFTWARE,Amazon.com,new,,$69.95 ,$15.30 ,1,2/8/11,USPS,$15.30 ,$1.34 ,$16.64 
116,2/5/11,,Amazon.com,new,Nutricity,$10.00 ,$11.17 ,1,2/11/11,USPS,$11.17 ,$0.00 ,$11.17 
117,2/12/11,ABIS_BOOK,Amazon.com,new,Amazon.com,$24.95 ,$14.74 ,1,2/15/11,USPS,$14.74 ,$0.00 ,$14.74 
118,2/12/11,ABIS_BOOK,Amazon.com,new,Amazon.com,$17.95 ,$10.97 ,1,2/15/11,USPS,$10.97 ,$0.00 ,$10.97 
119,2/20/11,INK_OR_TONER,Amazon.com,new,Amazon.com,$47.99 ,$42.49 ,1,2/23/11,USPS,$42.49 ,$0.00 ,$42.49 
120,2/20/11,INK_OR_TONER,Amazon.com,new,Amazon.com,$14.99 ,$13.99 ,1,2/23/11,USPS,$13.99 ,$0.00 ,$13.99 
121,2/21/11,SURVEILANCE_SYSTEMS,Amazon.com,new,Creative Square,$85.39 ,$85.39 ,2,2/21/11,FEDEX,$170.78 ,$0.00 ,$170.78 
122,2/22/11,SURVEILANCE_SYSTEMS,Amazon.com,new,Creative Square,$115.78 ,$115.78 ,1,2/23/11,ONTRAC,$115.78 ,$0.00 ,$115.78 
123,2/23/11,SECURITY_CAMERA,Amazon.com,new,Amazon.com,$199.95 ,$119.99 ,1,2/24/11,ONTRAC,$119.99 ,$0.00 ,$119.99 
124,2/25/11,COMPUTER_INPUT_DEVICE,Amazon.com,new,J&R Music and Computer World,$14.95 ,$9.99 ,1,2/25/11,USPS,$9.99 ,$0.00 ,$9.99 
125,2/25/11,COMPUTER_COMPONENT,Amazon.com,new,Amazon.com,$49.68 ,$19.99 ,1,2/28/11,UPS,$19.99 ,$0.00 ,$19.99 
126,2/26/11,SURVEILANCE_SYSTEMS,Amazon.com,new,Creative Square,$83.66 ,$83.66 ,1,2/27/11,ONTRAC,$83.66 ,$0.00 ,$83.66 
127,2/27/11,RAM_MEMORY,Amazon.com,new,Amazon.com,$89.99 ,$79.99 ,1,2/28/11,ONTRAC,$79.99 ,$0.00 ,$79.99 
128,2/27/11,,Amazon.com,new,Amazon.com,$129.00 ,$99.99 ,1,2/28/11,ONTRAC,$99.99 ,$0.00 ,$99.99 
129,3/2/11,COMPUTER_DRIVE_OR_STORAGE,Amazon.com,new,Amazon.com,$182.77 ,$99.99 ,1,3/3/11,ONTRAC,$99.99 ,$0.00 ,$99.99 
130,3/3/11,SECURITY_CAMERA,Amazon.com,new,Thousandshores Inc,$90.09 ,$90.09 ,1,3/3/11,FEDEX,$90.09 ,$0.00 ,$90.09 
131,3/10/11,SCANNER,Amazon.com,new,Amazon.com,$199.99 ,$199.99 ,1,3/11/11,UPS,$199.99 ,$0.00 ,$199.99 
132,3/12/11,SECURITY_CAMERA,Amazon.com,new,Amazon.com,$299.95 ,$199.99 ,1,3/14/11,UPS,$199.99 ,$0.00 ,$199.99 
133,3/12/11,SECURITY_CAMERA,Amazon.com,new,Amazon.com,$199.95 ,$154.49 ,1,3/14/11,UPS,$154.49 ,$0.00 ,$154.49 
134,3/12/11,COMPUTER_INPUT_DEVICE,Amazon.com,new,Warehouseseller,$29.99 ,$7.99 ,1,3/14/11,UPS,$7.99 ,$0.00 ,$7.99 
135,3/15/11,MONITOR,Amazon.com,new,Amazon.com,$169.99 ,$154.00 ,1,3/16/11,UPS,$154.00 ,$0.00 ,$154.00 
136,3/24/11,HOME_LIGHTING_ACCESSORY,Amazon.com,new,VCT ELECTRONICS,$4.94 ,$4.94 ,1,3/24/11,ONTRAC,$4.94 ,$0.00 ,$4.94 
137,3/24/11,COMPUTER_COMPONENT,Amazon.com,new,Instapark,$21.99 ,$16.70 ,1,3/24/11,ONTRAC,$16.70 ,$0.00 ,$16.70 
138,3/25/11,NOTEBOOK_COMPUTER,Amazon.com,new,Amazon.com,$749.00 ,$740.70 ,1,3/25/11,UPS,$740.70 ,$0.00 ,$740.70 
139,3/25/11,CABLE_OR_ADAPTER,Amazon.com,new,Amazon.com,$11.99 ,$11.99 ,1,3/26/11,ONTRAC,$11.99 ,$0.00 ,$11.99 
140,3/25/11,,Amazon.com,new,Amazon.com,$57.99 ,$42.79 ,1,3/26/11,ONTRAC,$42.79 ,$0.00 ,$42.79 
141,3/26/11,COMPUTER_ADD_ON,Amazon.com,new,Amazon.com,$24.99 ,$15.26 ,1,3/27/11,ONTRAC,$15.26 ,$0.00 ,$15.26 
142,3/26/11,OUTDOOR_LIVING,Amazon.com,new,Amazon.com,$9.99 ,$5.29 ,1,3/27/11,ONTRAC,$5.29 ,$0.00 ,$5.29 
143,3/26/11,,Amazon.com,new,VCT ELECTRONICS,$3.75 ,$3.75 ,1,3/27/11,ONTRAC,$3.75 ,$0.00 ,$3.75 
144,3/27/11,SURVEILANCE_SYSTEMS,Amazon.com,new,Creative Square,$99.99 ,$99.99 ,1,3/28/11,ONTRAC,$99.99 ,$0.00 ,$99.99 
145,3/28/11,NOTEBOOK_COMPUTER,Amazon.com,new,Amazon.com,$749.00 ,$709.00 ,1,3/29/11,UPS,$709.00 ,$0.00 ,$709.00 
146,4/6/11,HEALTH_PERSONAL_CARE,Amazon.com,new,American Direct Wholesale,$3.59 ,$1.60 ,1,4/8/11,USPS,$1.60 ,$0.00 ,$1.60 
147,4/9/11,FLASH_MEMORY,Amazon.com,new,Amazon.com,$43.00 ,$24.99 ,1,4/9/11,USPS,$24.99 ,$0.00 ,$24.99 
148,4/9/11,COMPUTER_COMPONENT,Amazon.com,new,Amazon.com,$6.50 ,$6.50 ,1,4/21/11,ONTRAC,$6.50 ,$0.00 ,$6.50 
149,4/9/11,,Amazon.com,new,BarleyBlends,$0.89 ,$0.89 ,2,4/11/11,USPS,$1.78 ,$0.00 ,$1.78 
150,4/11/11,KEYBOARDS,Amazon.com,new,Amazon.com,$79.99 ,$49.98 ,1,4/12/11,UPS,$49.98 ,$0.00 ,$49.98 
151,4/17/11,SOCKSHOSIERY,Amazon.com,new,Sox Shop,$30.00 ,$30.00 ,1,4/18/11,UPS,$30.00 ,$0.00 ,$30.00 
152,4/18/11,COMPUTER_DRIVE_OR_STORAGE,Amazon.com,new,Amazon.com,$159.99 ,$119.99 ,1,4/19/11,ONTRAC,$119.99 ,$0.00 ,$119.99 
153,4/24/11,,Amazon.com,new,BarleyBlends,$0.89 ,$0.89 ,2,4/25/11,USPS,$1.78 ,$0.00 ,$1.78 
154,4/27/11,,Amazon.com,new,Sneakers Seekers,$130.00 ,$109.95 ,1,4/28/11,FEDEX,$109.95 ,$0.00 ,$109.95 
155,4/29/11,SOFTWARE,Amazon.com,new,Amazon.com,$149.99 ,$114.99 ,1,4/29/11,FEDEX,$114.99 ,$0.00 ,$114.99 
156,5/3/11,COMPUTER,Amazon.com,new,Amazon.com,$5.48 ,$5.48 ,1,5/4/11,ONTRAC,$5.48 ,$0.00 ,$5.48 
157,5/8/11,BEAUTY,Amazon.com,new,The Vitamin Shoppe,$7.78 ,$7.29 ,1,5/8/11,Mail Innovations,$7.29 ,$0.64 ,$7.93 
158,5/10/11,SHIRT,Amazon.com,new,Amazon.com,$24.99 ,$24.99 ,1,5/11/11,ONTRAC,$24.99 ,$0.00 ,$24.99 
159,5/10/11,SHIRT,Amazon.com,new,Amazon.com,$25.00 ,$5.72 ,1,5/11/11,UPS,$5.72 ,$0.00 ,$5.72 
160,5/11/11,COMPUTER_INPUT_DEVICE,Amazon.com,new,Amazon.com,$14.95 ,$11.14 ,1,5/11/11,ONTRAC,$11.14 ,$0.00 ,$11.14 
161,5/11/11,NOTEBOOK_COMPUTER,Amazon.com,new,Amazon.com,$629.00 ,$514.65 ,1,5/11/11,UPS,$514.65 ,$0.00 ,$514.65 
162,5/12/11,,Amazon.com,new,MyOfficeInnovations,$119.95 ,$13.09 ,1,5/16/11,UPS,$13.09 ,$1.15 ,$14.24 
163,5/13/11,NETWORKING_DEVICE,Amazon.com,new,BestDealUSA,$6.84 ,$6.84 ,1,5/14/11,USPS,$6.84 ,$0.00 ,$6.84 
164,5/14/11,CABLE_OR_ADAPTER,Amazon.com,new,WOWparts,$8.00 ,$2.62 ,1,5/17/11,USPS,$2.62 ,$0.00 ,$2.62 
165,5/14/11,COMPUTER_COMPONENT,Amazon.com,new,Amazon.com,$5.14 ,$5.14 ,1,5/16/11,ONTRAC,$5.14 ,$0.00 ,$5.14 
166,5/14/11,COMPUTER_ADD_ON,Amazon.com,new,Kinobo,$13.99 ,$13.99 ,1,5/16/11,ONTRAC,$13.99 ,$0.00 ,$13.99 
167,5/15/11,NOTEBOOK_COMPUTER,Amazon.com,new,Amazon.com,$699.00 ,$644.00 ,1,5/15/11,UPS,$644.00 ,$0.00 ,$644.00 
168,5/17/11,COMPUTER_INPUT_DEVICE,Amazon.com,new,Amazon.com,$14.95 ,$11.14 ,1,5/17/11,ONTRAC,$11.14 ,$0.00 ,$11.14 
